rank,package_name,version,declared_license,root_classification,total_dependencies,is_tainted,conflicting_copyleft_deps_count,conflicts_summary
5507,spryker/data-export-extension,0.1.1,proprietary,PERMISSIVE,0,NO,0,
5508,scotteh/php-dom-wrapper,3.0.2,BSD-3-Clause,PERMISSIVE,1,NO,0,
5509,utopia-php/platform,0.13.2,Unspecified,PERMISSIVE,14,NO,0,
5510,spryker/store-gui-extension,1.0.0,proprietary,PERMISSIVE,24,NO,0,
5511,spryker/price-product-data-import,0.1.14,MIT,PERMISSIVE,64,NO,0,
5512,spatie/laravel-slack-slash-command,1.13.0,MIT,PERMISSIVE,49,NO,0,
5513,spryker/product-category-filter-gui-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5514,devdojo/themes,0.0.11,Unspecified,PERMISSIVE,0,NO,0,
5515,spryker/shipment-data-import,1.3.0,MIT,PERMISSIVE,88,NO,0,
5516,meenie/javascript-packer,1.1,LGPL 2.1,STRONG_COPYLEFT,0,NO,0,
5517,loupe/matcher,0.3.3,MIT,PERMISSIVE,1,NO,0,
5518,experius/module-emailcatcher,4.5.2,OSL-3.0,STRONG_COPYLEFT,0,NO,0,
5519,spryker/newsletter,4.7.0,proprietary,PERMISSIVE,57,NO,0,
5520,spryker/user-password-reset-mail,1.1.0,proprietary,PERMISSIVE,45,NO,0,
5521,liborm85/composer-vendor-cleaner,1.7.1,MIT,PERMISSIVE,0,NO,0,
5522,webleit/zohocrmapi,5.5.0,MIT,PERMISSIVE,22,NO,0,
5523,spryker/cms-block-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5524,yiisoft/yii-console,2.4.2,BSD-3-Clause,PERMISSIVE,14,NO,0,
5525,singlestoredb/singlestoredb-laravel,v2.0.2,Apache-2.0,PERMISSIVE,21,NO,0,
5526,spryker/sales-payment-extension,1.2.0,proprietary,PERMISSIVE,0,NO,0,
5527,spryker/sales-order-threshold-gui,2.2.1,proprietary,PERMISSIVE,76,NO,0,
5528,spryker/symfony-mailer,1.5.0,proprietary,PERMISSIVE,49,NO,0,
5529,suenerds/nova-searchable-belongs-to-filter,v2.0.3,MIT,PERMISSIVE,66,NO,0,
5530,spryker/sales-order-threshold,1.13.2,proprietary,PERMISSIVE,97,NO,0,
5531,joomla/http,4.0.2,GPL-2.0-or-later,STRONG_COPYLEFT,6,NO,1,joomla/uri (GPL-2.0-or-later)
5532,probots-io/pinecone-php,1.1.0,MIT,PERMISSIVE,9,NO,0,
5533,interop-phpobjects/polite-math,1.0.7,MIT,PERMISSIVE,0,NO,0,
5534,ourcodeworld/name-that-color,unknown,Unspecified,PERMISSIVE,0,NO,0,
5535,laravel-notification-channels/webhook,2.7.0,MIT,PERMISSIVE,26,NO,0,
5536,spryker-shop/checkout-page-extension,1.6.0,proprietary,PERMISSIVE,1,NO,0,
5537,cloudconvert/cloudconvert-laravel,1.1.6,MIT,PERMISSIVE,58,YES,1,netresearch/jsonmapper (OSL-3.0)
5538,spryker/discount-calculation-connector,5.4.0,proprietary,PERMISSIVE,68,NO,0,
